ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,1247.718884,1503.187768,1465.161159,1114.353648,1223.109227,761.182403,1206.78927,1295.386052,997.503004,1150.312876,979.565236,1085.598927,1283.727253,1339.966094,1337.740558,1200.003433,1555.08133,1345.227253,1539.261803
9,,1261.444421,1510.686481,1445.357082,1114.461588,1229.098712,673.217382,1229.821459,1310.838627,996.365665,1085.432833,1008.782189,1062.697854,1302.717811,1352.098283,1327.079399,1203.518884,1551.467382,1359.264163,1509.17897
17,,1275.520601,1521.672532,1426.802575,1146.954506,1251.477253,626.577682,1262.401931,1332.426824,1003.381545,1024.779828,1063.443348,1040.072532,1335.376395,1373.995279,1323.618026,1222.201502,1563.43691,1383.527682,1497.290129
25,,1288.491202,1537.506223,1415.025536,1211.173391,1292.092489,637.094421,1307.861373,1361.019313,1023.535837,979.646352,1139.924464,1020.378755,1383.568884,1410.796781,1335.825751,1262.792275,1594.489485,1419.333262,1508.635193
33,,1305.376609,1563.203004,1421.792489,1295.378541,1346.476609,704.682833,1370.145923,1408.962232,1058.228755,964.058369,1238.29206,1028.260515,1447.769313,1469.21867,1374.16073,1329.912876,1648.789485,1469.687554,1544.709871
41,,1339.136266,1601.475751,1455.987983,1389.913519,1410.737339,817.03927,1452.268455,1488.814807,1102.873176,985.471459,1356.359657,1090.267597,1525.427897,1552.719957,1436.280043,1422.511159,1729.281545,1538.544421,1603.728541
49,,1402.612446,1652.024678,1522.931974,1486.45279,1485.1603,947.904936,1553.476609,1595.649356,1153.760086,1045.273176,1490.382618,1206.189056,1602.923605,1661.529399,1521.071459,1542.156438,1834.576824,1632.017597,1680.423391
57,,1501.971674,1710.7897,1617.188197,1588.38176,1570.7603,1083.147425,1675.870601,1724.822747,1210.79721,1134.250215,1634.904292,1345.122961,1683.026395,1790.611373,1626.837554,1683.136695,1964.914163,1749.945708,1770.476395
65,,1635.346781,1780.847854,1730.935408,1697.180901,1669.104936,1217.046567,1813.279185,1875.999356,1283.704721,1248.643562,1788.585408,1493.642704,1775.480901,1932.68412,1750.283476,1841.53176,2118.193348,1896.161159,1875.283476
73,,1791.050215,1860.553863,1851.43691,1808.424249,1774.715021,1352.1603,1962.275107,2039.545708,1374.009013,1383.830043,1936.830043,1634.512446,1882.961159,2067.339485,1878.764163,2006.964807,2283.602575,2062.668884,1986.874893
81,,1948.419957,1945.57103,1964.525536,1910.746352,1877.981545,1486.180043,2116.077897,2204.519957,1474.925536,1528.051931,2070.161803,1767.602361,1998.73412,2183.408155,2005.358155,2164.701073,2441.057511,2229.555794,
89,,2087.067382,2027.415021,2069.586266,1992.97103,1963.334764,1609.749356,2263.762446,2351.23691,1574.273605,1670.582833,2183.773605,1895.703219,2106.993348,2268.507296,2114.53133,2301.644421,2569.575322,2379.2397,
97,,2186.180901,2090.304936,2165.130687,2045.022747,2024.939056,1702.633262,2386.893133,2453.572747,1658.562876,1801.096567,2264.032189,2010.380472,2195.6603,2312.71073,2195.015236,2402.1603,2648.263734,2494.761588,
105,,2243.660086,2134.240558,2239.650429,2060.107511,2052.995923,1758.300644,2475.623176,2501.400215,1715.776824,1914.243777,2294.483691,2099.832189,2247.764592,2311.624249,2238.92618,2454.627682,2674.03412,2562.836266,
113,,2262.783906,2151.393991,2285.604077,2036.375536,2039.205794,1777.285622,2512.948712,2498.630901,1739.568026,2002.535837,2263.926395,2149.882618,2256.137768,2269.534335,2238.925751,2462.739914,2646.211159,2582.478541,
121,,2248.676824,2131.86588,2289.782833,1979.040343,1990.04721,1764.872747,2498.775107,2455.917811,1732.087768,2055.418026,2187.379828,2158.627039,2223.382618,2193.346996,2190.261588,2428.930472,2580.209013,2555.592704,
129,,2206.125107,2082.145923,2261.256009,1899.954506,1915.274464,1726.241416,2433.384335,2385.624464,1697.169528,2069.830258,2082.329399,2128.303433,2154.899571,2086.815236,2104.812661,2356.882618,2488.934335,2488.999571,
137,,2140.154506,2004.795279,2207.315451,1808.13176,1828.40794,1668.581545,2328.079185,2299.960086,1642.909227,2042.828326,1962.952146,2066.831545,2063.150858,1962.890558,1990.650215,2257.208798,2381.515665,2389.401717,
145,,2052.930901,1910.514592,2136.838197,1718.334764,1734.625322,1602.632833,2203.027897,2219.86073,1579.175536,1985.49485,1847.206438,1984.295923,1960.817382,1840.081116,1870.742918,2142.222532,2262.520601,2268.866953,
153,,1954.541202,1813.772961,2055.687339,1639.522747,1646.353648,1537.41867,2069.95515,2159.558584,1515.438412,1913.972103,1746.627468,1887.796781,1859.851288,1732.701931,1764.0397,2026.328541,2142.805794,2145.582189,
161,,1856.94721,1725.67382,1963.575966,1577.223391,1573.002146,1483.050644,1935.254506,2120.665451,1458.914592,1841.430472,1668.40515,1789.647854,1773.903648,1648.121888,1684.157511,1925.104721,2035.771674,2040.732618,
169,,1765.935408,1654.824464,1864.122747,1533.031974,1519.48691,1445.688197,1806.621245,2094.586695,1415.815451,1769.787339,1614.070815,1700.422747,1714.277039,1592.101717,1634.983691,1849.566953,1955.102361,1965.079399,
177,,1685.452146,1604.370386,1773.888841,1505.993777,1484.859013,1427.417382,1695.666524,2063.718026,1388.554936,1695.128755,1585.132618,1631.230043,1684.323176,1566.687124,1615.7,1806.769099,1906.851288,1922.271459,
185,1359.734335,1620.932833,1573.236481,1702.727253,1492.468884,1466.708798,1426.59721,1609.932403,1978.752146,1376.069313,1634.43412,1579.060086,1587.13133,1680.709442,1566.499571,1616.992918,1793.658584,1888.070172,1909.180472,
193,1393.875322,1576.787339,1557.444206,1654.603004,1490.986052,1461.575966,1438.929185,1551.946352,1888.888197,1376.020601,1594.485193,1589.12618,1566.460086,1691.666738,1581.448498,1631.475966,1800.083047,1891.951073,1918.834764,
201,1427.456867,1551.550644,1550.290558,1627.248069,1496.795708,1463.469099,1457.778326,1519.666953,1813.608584,1383.799785,1573.264807,1605.447639,1564.03133,1697.145923,1599.987339,1652.930043,1812.658798,1905.650429,1937.058155,
209,1457.124893,1540.23927,1547.452361,1615.201288,1501.661159,1467.706438,1476.336481,1506.452575,1757.268026,1394.163948,1564.753863,1616.95,1570.438627,1687.287339,1614.567597,1674.998498,1821.534549,1917.766524,1954.383476,
217,1480.890558,1539.337339,1544.027039,1609.053863,1500.603863,1468.246137,1486.316738,1503.751288,1710.734979,1400.431116,1560.695494,1612.450215,1575.071674,1665.690773,1617.162661,1687.988841,1819.032833,1916.525322,1961.356223,
225,1491.287768,1545.674464,1539.199785,1601.37618,1492.485193,1458.98133,1475.888841,1503.548069,1665.987339,1399.192704,1555.630901,1589.553219,1573.598283,1636.876609,1604.709871,1690.147425,1803.4,1898.407511,1952.919528,
233,1483.97103,1549.944206,1530.253863,1585.446567,1474.885408,1437.79206,1453.224034,1496.544635,1619.915021,1390.218026,1540.024034,1550.376609,1562.208584,1601.502361,1577.011159,1679.348069,1773.888627,1861.980258,1924.127897,
241,1462.999785,1547.680687,1515.928112,1562.526609,1449.779828,1405.701717,1423.87897,1482.218884,1573.069957,1374.885408,1508.97103,1501.624464,1539.282403,1562.040343,1536.949571,1652.794421,1736.40794,1812.522318,1880.265236,
249,1435.949571,1538.680901,1495.969099,1534.097854,1420.479399,1365.903004,1390.03133,1461.427253,1524.332403,1356.197425,1463.421459,1447.88412,1505.861588,1520.795923,1487.594421,1613.2897,1695.990343,1755.070386,1826.561803,
257,1407.675966,1524.188412,1473.401073,1503.496781,1392.189914,1324.000644,1354.976395,1436.331116,1474.68412,1338.879828,1412.869957,1396.608584,1466.008369,1483.630043,1434.41309,1562.39721,1659.266953,1696.116738,1769.47382,
265,1379.942704,1507.49485,1451.663519,1473.380901,1371.319742,1285.274464,1324.01588,1406.725966,1425.158798,1327.293562,1365.858798,1350.559013,1424.071459,1453.018884,1383.425536,1502.9603,1629.587554,1641.896781,1711.659227,
273,1355.450858,1491.607725,1432.764807,1446.36073,1359.022318,1253.174249,1299.46073,1376.650858,1375.236052,1325.092704,1326.577897,1313.993777,1385.198498,1429.339056,1338.938841,1442.678755,1606.531545,1596.436481,1656.747425,
281,1334.946996,1477.396567,1417.223176,1421.127897,1353.885408,1227.482833,1281.420386,1348.989485,1327.46588,1331.033906,1295.917382,1287.048927,1351.316524,1414.013948,1303.416524,1388.344635,1588.645494,1558.679614,1605.588627,
289,1318.969099,1465.446567,1407.887339,1397.159013,1352.953004,1206.977682,1270.279399,1324.000215,1286.206009,1343.303219,1271.396352,1267.169528,1323.017597,1404.698927,1276.891202,1342.136266,1576.68133,1528.203863,1563.84206,
297,1306.906438,1456.839914,1406.369742,1375.72103,1353.007725,1188.958155,1262.782403,1301.392704,1250.432189,1355.565451,1249.264378,1251.216953,1301.319313,1396.916738,1257.418026,1306.385622,1570.866094,1502.585408,1535.822103,
305,1295.404721,1450.253863,1412.762232,1356.242918,1350.051717,1172.349785,1254.79485,1280.475966,1215.413734,1364.946567,1228.103004,1235.094635,1286.259657,1385.244421,1245.822318,1282.048712,1571.006009,1478.534549,1525.763519,
313,1276.450215,1444.212661,1425.262661,1336.917811,1338.65794,1156.104077,1238.937554,1263.336695,1177.111588,1369.890773,1204.835193,1218.618455,1278.281545,1369.493777,1241.766094,1267.968884,1573.930043,1452.516738,1532.346352,
321,1248.923605,1443.498498,1441.336695,1316.309442,1313.399785,1138.607511,1217.219528,1251.467597,1138.610515,1367.480472,1176.651288,1205.137768,1274.82103,1351.454936,1246.041416,1260.747425,1574.378541,1425.503219,1548.314378,
329,1220.041845,1449.600644,1455.914163,1292.071459,1280.627039,1115.11867,1197.91588,1247.297854,1102.52382,1355.945279,1140.963519,1194.675322,1273.846567,1332.975966,1264.922103,1254.577468,1575.175536,1399.422747,1569.851502,
337,1199.755579,1459.008584,1470.106652,1262.06824,1255.271674,1077.141416,1186.475107,1249.896352,1070.792275,1334.91824,1099.125536,1183.943777,1271.0103,1319.681545,1291.661803,1243.062017,1576.478326,1377.386695,1591.965021,
345,1202.46309,1471.337768,1480.925751,1224.853648,1239.609013,1021.977468,1182.651931,1259.187554,1043.554077,1304.863734,1052.080258,1166.739485,1269.318455,1317.548069,1320.218884,1227.565665,1575.972532,1358.134335,1601.312661,
353,1217.322532,1486.413734,1485.608155,1182.850215,1229.620601,947.298498,1185.508798,1272.904506,1022.66588,1264.105794,1007.948712,1141.841202,1269.305794,1325.233906,1341.857725,1213.674893,1573.237983,1344.88927,1599.88133,
361,1233.233047,1496.883691,1480.568455,1142.590987,1225.490558,856.452575,1193.139485,1283.888412,1007.162232,1214.270172,980.961588,1113.319742,1273.55279,1332.345708,1344.753219,1203.948283,1564.524034,1339.725322,1581.905579,
