ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,232.84615385,122.38461538,142.38461538,405.84615385,-293.15384615,53.15384615,180.46153846,290.92307692,1074.46153846,703.69230769,371.46153846,313.76923077,786.15384615,621.92307692,358.07692308,1460.23076923,277.53846154,566.61538462,890.23076923
9,,139.07692308,77.61538462,-6.84615385,219.23076923,-326.53846154,-17.84615385,15.46153846,232.53846154,956.23076923,465.53846154,148.15384615,170.61538462,557.69230769,470.61538462,140.61538462,1234.76923077,75.69230769,333.69230769,1007.46153846
17,,57.92307692,79.23076923,-129.84615385,58.53846154,-343.23076923,-51.46153846,-121.07692308,181.69230769,785.15384615,251.53846154,-29.61538462,32.23076923,348.53846154,397.84615385,-42.07692308,993.46153846,-101.23076923,125.92307692,1106.38461538
25,,-16.61538462,131.30769231,-227.46153846,-69.92307692,-344.46153846,-49.15384615,-231.38461538,144.53846154,602.23076923,74.84615385,-153.23076923,-104.61538462,177.38461538,396.0,-179.46153846,756.15384615,-248.15384615,-39.23076923,1151.53846154
33,,-72.15384615,233.07692308,-300.84615385,-158.61538462,-333.07692308,-12.23076923,-320.15384615,139.38461538,439.38461538,-53.53846154,-214.69230769,-226.30769231,56.53846154,463.53846154,-261.07692308,563.53846154,-362.38461538,-153.46153846,1120.30769231
41,,-98.23076923,379.69230769,-347.53846154,-201.53846154,-301.38461538,56.46153846,-379.84615385,176.0,319.69230769,-126.46153846,-209.69230769,-319.46153846,-7.84615385,592.30769231,-279.15384615,444.38461538,-437.0,-206.53846154,1015.53846154
49,,-84.23076923,563.30769231,-357.53846154,-193.30769231,-236.53846154,154.92307692,-402.46153846,263.84615385,266.07692308,-136.92307692,-138.46153846,-371.61538462,-9.53846154,768.15384615,-225.46153846,421.61538462,-459.76923077,-188.38461538,843.0
57,,-20.61538462,764.46153846,-321.30769231,-127.30769231,-126.38461538,279.46153846,-380.07692308,408.23076923,291.92307692,-79.15384615,-3.61538462,-371.0,61.46153846,971.15384615,-96.46153846,502.76923077,-416.53846154,-91.69230769,623.15384615
65,,103.15384615,956.76923077,-227.76923077,2.07692308,40.0,426.07692308,-304.84615385,612.69230769,407.84615385,48.38461538,193.53846154,-307.0,220.69230769,1174.53846154,111.23076923,685.46153846,-293.53846154,91.15384615,380.15384615
73,,292.0,1150.92307692,-69.84615385,197.61538462,267.23076923,585.61538462,-170.15384615,866.61538462,612.53846154,246.76923077,443.69230769,-169.76923077,475.46153846,1398.92307692,390.46153846,954.07692308,-82.53846154,365.30769231,125.38461538
81,,545.07692308,1352.07692308,153.53846154,455.46153846,555.07692308,748.23076923,26.69230769,1144.92307692,893.69230769,512.76923077,734.76923077,52.61538462,818.69230769,1676.0,727.61538462,1283.46153846,226.61538462,734.76923077,
89,,846.0,1568.23076923,437.30769231,770.07692308,891.53846154,930.53846154,286.38461538,1444.61538462,1233.38461538,843.0,1045.23076923,362.92307692,1228.15384615,2012.61538462,1123.46153846,1639.07692308,634.07692308,1194.15384615,
97,,1168.53846154,1800.76923077,767.84615385,1124.92307692,1252.92307692,1156.0,605.53846154,1754.76923077,1603.0,1221.38461538,1367.46153846,752.76923077,1668.15384615,2383.46153846,1568.0,1995.53846154,1129.07692308,1723.07692308,
105,,1477.53846154,2038.76923077,1132.38461538,1504.92307692,1622.30769231,1425.30769231,965.15384615,2061.84615385,1971.15384615,1623.07692308,1677.92307692,1198.61538462,2122.61538462,2754.46153846,2031.30769231,2338.07692308,1684.53846154,2273.53846154,
113,,1748.69230769,2269.38461538,1509.84615385,1878.69230769,1972.76923077,1718.30769231,1333.92307692,2351.84615385,2322.0,2031.61538462,1977.92307692,1659.53846154,2561.38461538,3092.15384615,2468.53846154,2640.07692308,2262.07692308,2780.84615385,
121,,1983.76923077,2470.92307692,1890.30769231,2203.30769231,2272.38461538,2011.92307692,1704.07692308,2608.84615385,2629.84615385,2424.46153846,2259.07692308,2114.38461538,2943.53846154,3353.0,2831.84615385,2886.69230769,2811.69230769,3188.15384615,
129,,2190.07692308,2636.76923077,2253.92307692,2441.30769231,2488.30769231,2276.92307692,2054.92307692,2808.61538462,2855.84615385,2771.92307692,2502.38461538,2518.61538462,3208.53846154,3496.15384615,3062.23076923,3062.92307692,3268.46153846,3479.84615385,
137,,2367.61538462,2757.76923077,2577.53846154,2586.07692308,2616.15384615,2488.23076923,2359.76923077,2947.61538462,2998.23076923,3046.53846154,2692.84615385,2823.92307692,3350.69230769,3525.07692308,3161.07692308,3178.61538462,3598.07692308,3636.07692308,
145,,2508.61538462,2822.15384615,2842.53846154,2640.15384615,2662.15384615,2615.76923077,2586.23076923,3021.30769231,3054.84615385,3219.15384615,2820.84615385,3018.0,3363.61538462,3461.07692308,3143.53846154,3238.61538462,3767.15384615,3663.0,
153,,2608.30769231,2829.76923077,3042.92307692,2624.61538462,2646.46153846,2668.07692308,2726.69230769,3035.38461538,3038.0,3296.46153846,2876.61538462,3104.07692308,3282.30769231,3331.69230769,3049.61538462,3249.61538462,3771.84615385,3588.38461538,
161,,2660.07692308,2781.76923077,3168.07692308,2559.46153846,2584.23076923,2652.15384615,2783.92307692,2992.76923077,2959.76923077,3288.61538462,2861.53846154,3087.84615385,3142.15384615,3156.23076923,2910.76923077,3211.07692308,3655.61538462,3441.38461538,
169,,2666.76923077,2683.07692308,3206.92307692,2462.30769231,2491.92307692,2588.46153846,2779.38461538,2909.07692308,2838.07692308,3213.15384615,2796.76923077,3000.53846154,2970.0,2951.07692308,2753.61538462,3125.0,3468.23076923,3254.46153846,
177,,2630.07692308,2553.07692308,3155.38461538,2346.07692308,2381.07692308,2492.76923077,2728.61538462,2803.92307692,2684.23076923,3087.69230769,2698.23076923,2869.07692308,2786.46153846,2739.53846154,2594.38461538,2984.69230769,3243.15384615,3051.23076923,
185,2334.38461538,2557.84615385,2405.61538462,3042.23076923,2222.23076923,2264.69230769,2379.07692308,2647.15384615,2693.92307692,2515.23076923,2931.69230769,2581.23076923,2713.69230769,2606.07692308,2537.76923077,2443.92307692,2819.15384615,3004.76923077,2849.23076923,
193,2216.46153846,2459.53846154,2249.07692308,2888.53846154,2100.07692308,2150.46153846,2258.23076923,2545.30769231,2587.92307692,2345.69230769,2759.61538462,2456.46153846,2549.92307692,2440.07692308,2358.84615385,2305.30769231,2646.15384615,2773.0,2659.38461538,
201,2102.15384615,2346.38461538,2091.23076923,2716.15384615,1985.92307692,2043.92307692,2135.61538462,2431.38461538,2492.69230769,2189.23076923,2588.15384615,2333.92307692,2389.23076923,2294.76923077,2206.23076923,2186.0,2483.23076923,2562.0,2492.07692308,
