ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,930.1718,734.66045,206.05267,1031.37196,637.359,190.04781,694.16613,904.83549,1375.89627,775.17342,483.35575,935.67342,1020.05267,1365.91086,1310.64992,1573.73339,1086.12723,785.53566,1045.4919
9,,802.29417,700.55916,82.99352,830.45138,543.31199,65.39546,593.15316,861.70583,1136.70746,542.15235,440.62723,807.87925,843.02998,1329.59319,1051.0,1514.92788,828.39222,614.97731,1110.63695
17,,701.85981,730.84603,35.18071,726.16207,494.65964,30.25689,541.45786,816.30875,909.91167,351.5705,454.14668,707.02107,724.78687,1340.93922,802.44327,1465.18963,607.79579,541.17504,1213.56969
25,,645.20421,827.70016,72.01459,741.18882,491.16532,91.61102,542.09806,801.97164,725.91248,229.91086,514.18639,624.85008,681.91653,1410.23258,622.8906,1451.33549,443.17909,570.91815,1349.37115
33,,636.22934,1000.82901,204.23258,875.96029,518.11912,249.53323,613.86467,853.01135,611.51945,190.43517,635.48136,595.73339,712.83468,1545.94489,554.20827,1502.71637,358.21151,699.90438,1501.94003
41,,690.01297,1248.06807,436.27391,1097.97245,579.48217,499.79498,771.40276,1000.4846,589.42788,245.21961,835.6013,655.07455,818.71232,1746.63209,615.78363,1626.55673,378.02188,917.64749,1668.31118
49,,828.74554,1550.14911,762.22771,1361.47893,697.55673,825.53809,1014.52836,1246.05835,674.27553,403.95705,1123.03971,813.66207,1008.04376,1999.17099,812.66937,1800.68882,514.65883,1212.26661,1853.45381
57,,1072.19449,1872.27391,1169.93274,1653.22528,904.54376,1195.48379,1337.90843,1581.8671,868.55348,666.08347,1492.20097,1059.19125,1300.15316,2287.25284,1128.51864,2003.50729,776.65478,1565.47245,2064.50567
65,,1420.32658,2169.98298,1621.83955,1947.953,1210.95624,1565.8752,1716.36953,1978.04376,1165.22853,1016.63533,1923.71799,1380.66532,1690.61102,2563.45705,1530.34198,2212.32982,1158.92058,1950.57536,2278.29903
73,,1847.15721,2425.25365,2043.86305,2229.23744,1603.04619,1904.22934,2113.61994,2385.58266,1530.82496,1434.75608,2360.26094,1753.88088,2136.75527,2819.7731,1979.64749,2403.45543,1636.57293,2354.55511,2493.51702
81,,2298.07293,2625.90438,2388.3436,2475.79822,2035.60049,2197.87763,2492.45705,2750.32577,1914.59157,1882.08509,2722.06159,2140.51297,2556.63614,3043.40438,2414.26661,2564.13128,2160.24959,2747.32091,
89,,2710.453,2773.43274,2665.75527,2660.52836,2439.07293,2431.70178,2834.11102,3045.75527,2267.08752,2298.59968,2988.63128,2504.08995,2901.90762,3217.65478,2761.79417,2683.32091,2653.37115,3096.95219,
97,,3051.55429,2866.23339,2881.36791,2770.60616,2759.21637,2596.07861,3122.25122,3256.72528,2554.55429,2649.20178,3160.70097,2805.41815,3142.47731,3336.26823,2986.30227,2749.08833,3066.06726,3385.34846,
105,,3278.57455,2900.32901,3030.6175,2804.8363,2971.88574,2685.70583,3350.88006,3370.35737,2749.94408,2935.61426,3239.12723,3021.03241,3266.45705,3380.57942,3081.05511,2766.14425,3363.02107,3592.7812,
113,,3375.82496,2883.36629,3121.79579,2769.34684,3066.61507,2700.84765,3510.97812,3398.16288,2837.5859,3150.31686,3232.2034,3134.6329,3273.27472,3344.23663,3067.80065,2740.97326,3539.19692,3696.51864,
121,,3369.29741,2826.21475,3157.77634,2684.94003,3060.28039,2647.2893,3591.17018,3349.59643,2823.46677,3274.82658,3151.86467,3150.73501,3183.44489,3239.7423,2970.65721,2687.78687,3595.30146,3685.58428,
129,,3291.00891,2740.30956,3127.90113,2568.54862,2984.79254,2542.59887,3568.86143,3234.77715,2729.64425,3298.64182,3015.93679,3088.71799,3028.18476,3077.08995,2822.52026,2614.94408,3550.90357,3574.33063,
137,,3168.58671,2634.82901,3042.21718,2441.47812,2867.06078,2412.34441,3463.23744,3076.88655,2597.30956,3239.00162,2848.8906,2964.37844,2842.24149,2886.49919,2654.83063,2531.14506,3432.95219,3391.9611,
145,,3027.69692,2521.69044,2916.63533,2316.77229,2730.32901,2276.33144,3298.73339,2903.90276,2453.87196,3121.28039,2678.7893,2803.39789,2651.99109,2691.6248,2490.65721,2439.34441,3276.74554,3177.71394,
153,,2886.74473,2409.52188,2777.88736,2202.34765,2589.24797,2147.53728,3106.24554,2733.74473,2316.24473,2973.02917,2519.2188,2633.8906,2476.84603,2508.32577,2343.6013,2342.047,3103.80146,2960.64425,
161,,2753.91977,2301.67666,2640.58104,2099.49433,2455.97002,2034.70097,2909.14911,2575.88412,2192.75203,2814.2577,2379.08428,2470.38169,2325.20583,2344.80389,2218.49838,2243.50324,2925.77877,2760.67504,
