ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,,2504.1836735,2627.0204082,2873.1836735,2207.2040816,2717.4693878,2498.0204082,3153.7142857,2617.9591837,2257.4489796,2447.877551,2860.2040816,2984.1428571,2735.6122449,3252.0,3463.1428571,3176.7755102,3565.8163265,3535.0204082,3204.0612245
9,,2520.877551,2690.6122449,2868.7755102,2218.7346939,2651.6734694,2460.0612245,3254.5510204,2640.122449,2318.2040816,2460.0612245,2901.1020408,3084.7959184,2893.122449,3381.4489796,3615.8979592,3318.5714286,3730.5714286,3714.4897959,3290.7959184
17,,2599.8571429,2794.7346939,2908.1632653,2306.5918367,2655.9591837,2439.4897959,3371.6734694,2738.3061224,2436.5510204,2499.5102041,3003.8571429,3235.8979592,3116.5714286,3526.3061224,3787.5714286,3529.8163265,3946.6938776,3911.877551,3426.0204082
25,,2734.1428571,2924.1020408,2993.6734694,2480.1632653,2739.6326531,2446.2040816,3479.0408163,2915.3061224,2610.4489796,2566.8163265,3177.4081633,3425.0612245,3373.7959184,3680.6938776,3971.6122449,3820.3265306,4210.7142857,4140.8571429,3606.0612245
33,,2909.3877551,3082.7755102,3122.0816327,2737.755102,2902.6734694,2498.755102,3602.1020408,3162.4285714,2824.755102,2657.122449,3412.7959184,3625.1428571,3630.7959184,3859.8571429,4153.1632653,4168.3673469,4505.4693878,4404.4081633,3845.6938776
41,,3127.6734694,3286.6326531,3295.122449,3065.7755102,3123.3469388,2615.6530612,3753.7959184,3461.5306122,3041.4897959,2790.3061224,3693.0408163,3823.9591837,3899.0408163,4070.3877551,4327.9795918,4527.6530612,4779.5306122,4701.9387755,4137.877551
49,,3383.5102041,3533.0,3505.2857143,3418.2857143,3374.7755102,2803.0816327,3929.9795918,3792.0816327,3272.0,2977.2040816,3990.4081633,4045.877551,4180.755102,4314.8979592,4481.0204082,4870.0,5020.7346939,5015.9183673,4447.5510204
57,,3666.4285714,3798.8367347,3753.9591837,3736.9387755,3640.2857143,3047.7959184,4131.5510204,4110.4081633,3519.1836735,3225.3061224,4269.877551,4302.755102,4446.244898,4573.4285714,4611.7755102,5149.0816327,5219.3469388,5303.5306122,4716.2857143
65,,3949.5102041,4048.6530612,4025.5510204,3994.5306122,3900.2244898,3312.5102041,4344.4285714,4388.1632653,3771.122449,3527.9795918,4526.9795918,4568.4489796,4673.7959184,4797.0408163,4720.0408163,5340.7142857,5375.2857143,5546.6938776,4934.0204082
73,,4204.6734694,4237.6122449,4295.8979592,4193.5306122,4118.0204082,3575.0,4549.7755102,4608.2040816,4021.5510204,3856.122449,4737.9183673,4792.755102,4846.3265306,4950.2653061,4808.755102,5433.244898,5484.4897959,5732.1836735,5125.0612245
